itstId,itstNm,lat,lng,regDt
20148,국회의사당(연등),37.529190,126.917255,2022-12-12T16:30:39.000+00:00
20158,청계6가(연등),37.569639,127.009731,2022-12-12T16:30:39.000+00:00
20160,삼성힐스테이트2단지앞(연등),37.511982,127.049680,2022-12-12T16:30:39.000+00:00
2017,유광사산부인과,37.543253,126.838870,2022-12-12T16:30:39.000+00:00
202,고척교,37.498884,126.871792,2022-12-12T16:30:39.000+00:00
2028,이태원소방파출소,37.534603,126.995587,2022-12-12T16:30:40.000+00:00
20379,IBK기업은행대림동지점(연등),37.497046,126.898991,2022-12-12T16:30:40.000+00:00
20386,망원역(연등),37.556879,126.909397,2022-12-12T16:30:39.000+00:00
2040,청량리119안전센터,37.587103,127.052647,2022-12-12T16:30:39.000+00:00
20401,월곡뉴타운정류장(연등)1,37.607135,127.028538,2022-12-12T16:30:39.000+00:00
20406,삼양입구사거리(연등)1,37.616641,127.029846,2022-12-12T16:30:39.000+00:00
20408,도봉세무서(연등),37.618982,127.029059,2022-12-12T16:30:39.000+00:00
20409,방송대북부별관(연등),37.620706,127.028410,2022-12-12T16:30:39.000+00:00
20410,미아역(연등),37.627149,127.025859,2022-12-12T16:30:39.000+00:00
20414,수유사거리(연등),37.633553,127.023413,2022-12-12T16:30:39.000+00:00
20416,대한병원(연등),37.636287,127.023072,2022-12-12T16:30:39.000+00:00
2042,"가양3,5단지",37.562891,126.851744,2022-12-12T16:30:39.000+00:00
20423,수유3동우체국(연등),37.642193,127.030145,2022-12-12T16:30:39.000+00:00
2043,등촌아이파크아파트,37.543945,126.862163,2022-12-12T16:30:39.000+00:00
20458,명보사거리(연등),37.562757,126.993087,2022-12-12T16:30:39.000+00:00
20470,불광역(연등),37.612122,126.928524,2022-12-12T16:30:39.000+00:00
20472,연신내로데오(연등),37.618401,126.920178,2022-12-12T16:30:39.000+00:00
20477,역촌사거리(연등),37.607567,126.921792,2022-12-12T16:30:39.000+00:00
20478,역촌역(연등),37.605473,126.922623,2022-12-12T16:30:39.000+00:00
20482,신사오거리(연등)1,37.599523,126.916596,2022-12-12T16:30:39.000+00:00
20483,청운아파트(연등),37.594598,126.914548,2022-12-12T16:30:39.000+00:00
20484,새절역(연등),37.593338,126.913165,2022-12-12T16:30:39.000+00:00
2049,"3,4번정문",37.534945,126.984715,2022-12-12T16:30:40.000+00:00
2050,청파동삼거리,37.548211,126.970055,2022-12-12T16:30:39.000+00:00
2051,청파동입구,37.549558,126.971812,2022-12-12T16:30:39.000+00:00
20529,선정중고입구(연등),37.616156,126.907756,2022-12-12T16:30:39.000+00:00
20538,강월초교(연등),37.516178,126.834834,2022-12-12T16:30:39.000+00:00
2054,국립중앙박물관,37.521521,126.977124,2022-12-12T16:30:39.000+00:00
20559,발산119안전센터(연등),37.556592,126.837618,2022-12-12T16:30:39.000+00:00
2056,국방부,37.534642,126.975818,2022-12-12T16:30:40.000+00:00
2059,남영삼거리,37.542048,126.972779,2022-12-12T16:30:39.000+00:00
2060,남영역,37.541682,126.970787,2022-12-12T16:30:39.000+00:00
2061,다래원,37.534708,126.997311,2022-12-12T16:30:40.000+00:00
2062,데이콤빌딩,37.524188,126.963214,2022-12-12T16:30:39.000+00:00
2063,동빙고동,37.529453,126.991351,2022-12-12T16:30:39.000+00:00
2064,동자동,37.551128,126.972214,2022-12-12T16:30:39.000+00:00
20643,미아서광빌딩(연등),37.623176,127.027434,2022-12-12T16:30:39.000+00:00
20644,숭인시장(연등),37.613215,127.030070,2022-12-12T16:30:39.000+00:00
20648,한성대(연등)1,37.590756,127.011183,2022-12-12T16:30:39.000+00:00
2065,대림1동공영주차장앞,37.493279,126.901198,2022-12-12T16:30:40.000+00:00
20659,강서보건소앞(연등),37.549262,126.868095,2022-12-12T16:30:39.000+00:00
2067,버들약국,37.536761,127.000436,2022-12-12T16:30:40.000+00:00
2068,KT한강로빌딩,37.531558,126.970193,2022-12-12T16:30:39.000+00:00
20685,신방화사거리(연등)1,37.573372,126.818093,2022-12-12T16:30:39.000+00:00
2070,"1,2번정문",37.534762,126.980756,2022-12-12T16:30:40.000+00:00
2074,북한남삼거리,37.542090,127.002380,2022-12-12T16:30:40.000+00:00
20745,박석고개(연등),37.625967,126.920110,2022-12-12T16:30:39.000+00:00
20746,북한산래미안(연등),37.610849,126.941442,2022-12-12T16:30:39.000+00:00
20748,신한은행갈현(연등),37.624681,126.919969,2022-12-12T16:30:39.000+00:00
2075,삼각지역,37.535675,126.974013,2022-12-12T16:30:39.000+00:00
20758,구로전화국(연등),37.479634,126.902567,2022-12-12T16:30:40.000+00:00
2078,소화아동병원,37.553911,126.969040,2022-12-12T16:30:39.000+00:00
208,덕은교,37.590991,126.882599,2022-12-12T16:30:39.000+00:00
2080,숙명여대입구,37.544914,126.970608,2022-12-12T16:30:39.000+00:00
2081,숙대입구역7번출구,37.543332,126.972495,2022-12-12T16:30:39.000+00:00
2084,신한은행원효,37.535966,126.962831,2022-12-12T16:30:39.000+00:00
2085,용마슈퍼,37.540625,126.958269,2022-12-12T16:30:39.000+00:00
2086,효창공원앞역,37.539299,126.961377,2022-12-12T16:30:39.000+00:00
2088,용산1호정문,37.537726,126.973923,2022-12-12T16:30:39.000+00:00
20883,묵2동(연등),37.609635,127.077976,2022-12-12T16:30:40.000+00:00
209,수색교,37.587009,126.887246,2022-12-12T16:30:39.000+00:00
2090,용산보건소,37.537997,126.966340,2022-12-12T16:30:39.000+00:00
2091,용산서,37.540218,126.969001,2022-12-12T16:30:39.000+00:00
2092,용산역,37.527280,126.966027,2022-12-12T16:30:39.000+00:00
20922,동곡삼거리(연등),37.562089,127.075268,2022-12-12T16:30:40.000+00:00
2093,용산우체국,37.530262,126.968970,2022-12-12T16:30:39.000+00:00
20938,오장동사거리(연등),37.565649,127.002443,2022-12-12T16:30:39.000+00:00
2094,숙대입구역,37.545110,126.972005,2022-12-12T16:30:39.000+00:00
2095,원효로2가,37.535362,126.961637,2022-12-12T16:30:39.000+00:00
2096,원효3가,37.534211,126.958772,2022-12-12T16:30:39.000+00:00
20976,신한은행신월동지점(연등),37.518861,126.842970,2022-12-12T16:30:39.000+00:00
20980,롯데마트서울역(연등),37.554921,126.967755,2022-12-12T16:30:39.000+00:00
